referenceNum,employeeID,jobID,"date","clockIn","clockOut",totalHours,weekNum,jobLogRef
98,56,25,"2013-01-25","06:28:21","12:12:33",5.73,4,48
99,58,25,"2013-01-25","06:28:06","12:12:42",5.73,4,48
100,43,28,"2013-01-25","07:07:40","15:29:16",8.37,4,49
101,40,28,"2013-01-25","07:07:55","15:29:23",8.37,4,49
102,50,27,"2013-01-25","07:05:35","15:30:32",8.42,4,50
103,49,27,"2013-01-25","07:05:24","15:30:39",8.42,4,50
104,47,27,"2013-01-25","07:05:11","15:30:45",8.42,4,50
105,46,27,"2013-01-25","07:04:58","15:30:52",8.43,4,50
106,48,27,"2013-01-25","07:04:44","15:30:58",8.43,4,50
107,54,24,"2013-01-25","06:33:47","15:34:21",9.02,4,52
108,53,24,"2013-01-25","06:33:08","15:34:36",9.02,4,52
109,52,24,"2013-01-25","06:33:19","15:34:42",9.02,4,52
110,55,24,"2013-01-25","06:33:31","15:34:49",9.02,4,52
111,59,25,"2013-01-25","13:20:02","21:30:58",8.17,4,51
112,57,25,"2013-01-25","13:18:46","21:31:19",8.22,4,51
113,40,29,"2013-01-28","08:10:21","10:44:42",2.57,5,53
114,60,29,"2013-01-28","08:10:00","10:46:02",2.6,5,53
115,60,30,"2013-01-28","10:46:26","12:16:43",1.5,5,56
116,40,30,"2013-01-28","10:46:42","12:16:50",1.5,5,56
117,56,29,"2013-01-28","08:10:35","12:17:32",4.12,5,53
118,57,25,"2013-01-28","08:11:28","12:17:44",4.1,5,54
119,55,24,"2013-01-28","08:13:20","15:42:52",7.48,5,55
120,52,24,"2013-01-28","08:12:49","15:43:00",7.52,5,55
121,53,24,"2013-01-28","08:12:34","15:43:09",7.52,5,55
122,56,25,"2013-01-28","12:18:17","15:43:19",3.42,5,54
123,58,25,"2013-01-28","08:11:46","15:43:29",7.53,5,54
124,57,29,"2013-01-28","12:17:56","15:43:45",3.43,5,53
125,40,29,"2013-01-28","12:17:11","15:43:52",3.43,5,53
126,60,29,"2013-01-28","12:17:20","15:44:00",3.45,5,53
127,54,24,"2013-01-28","08:13:04","15:44:14",7.52,5,55
128,56,29,"2013-01-29","07:16:42","07:16:53",0.01,5,58
129,53,28,"2013-01-29","07:33:18","07:34:10",0.02,5,66
130,55,28,"2013-01-29","07:31:22","07:34:56",0.05,5,66
131,44,31,"2013-01-29","07:15:29","08:28:21",1.22,5,57
132,46,31,"2013-01-29","07:15:18","08:28:32",1.22,5,57
133,61,31,"2013-01-29","07:14:58","08:28:45",1.23,5,57
134,40,29,"2013-01-29","07:16:33","10:46:28",3.5,5,58
135,50,29,"2013-01-29","07:17:14","10:46:46",3.48,5,58
136,57,29,"2013-01-29","07:16:18","10:46:52",3.5,5,58
137,56,25,"2013-01-29","07:30:03","10:51:44",3.35,5,65
138,56,35,"2013-01-29","10:54:18","12:06:48",1.2,5,60
139,57,25,"2013-01-29","10:51:24","12:07:01",1.27,5,65
140,50,34,"2013-01-29","10:49:16","12:07:31",1.3,5,59
141,40,34,"2013-01-29","10:49:39","12:07:37",1.3,5,59
142,40,35,"2013-01-29","12:07:56","12:08:50",0.02,5,60
143,61,34,"2013-01-29","08:33:42","13:38:04",5.08,5,59
144,44,34,"2013-01-29","08:34:18","13:38:11",5.07,5,59
145,46,34,"2013-01-29","08:34:04","13:38:17",5.07,5,59
146,57,35,"2013-01-29","12:07:17","15:14:45",3.12,5,60
147,40,35,"2013-01-29","12:09:01","15:14:52",3.08,5,60
148,50,35,"2013-01-29","12:08:32","15:14:58",3.1,5,60
149,47,32,"2013-01-29","07:59:17","15:28:55",7.48,5,61
150,62,32,"2013-01-29","07:24:41","15:29:04",8.08,5,61
151,59,32,"2013-01-29","07:23:50","15:29:10",8.1,5,61
152,42,32,"2013-01-29","07:23:35","15:29:18",8.1,5,61
153,45,32,"2013-01-29","07:23:06","15:29:25",8.1,5,61
154,43,32,"2013-01-29","07:22:48","15:29:32",8.12,5,61
155,48,25,"2013-01-29","07:30:19","15:30:22",8,5,65
156,56,25,"2013-01-29","12:10:34","15:30:28",3.33,5,65
157,41,33,"2013-01-29","07:29:35","15:31:27",8.03,5,62
158,63,33,"2013-01-29","07:29:16","15:31:39",8.03,5,62
159,60,33,"2013-01-29","07:28:08","15:31:45",8.05,5,62
160,49,33,"2013-01-29","07:27:43","15:31:52",8.07,5,62
161,61,36,"2013-01-29","13:40:07","15:33:01",1.88,5,63
162,44,36,"2013-01-29","13:40:16","15:33:12",1.88,5,63
163,46,36,"2013-01-29","13:40:26","15:33:21",1.88,5,63
164,40,30,"2013-01-29","15:16:11","15:35:35",0.32,5,64
165,50,30,"2013-01-29","15:15:59","15:35:41",0.33,5,64
166,52,24,"2013-01-29","07:33:41","15:36:28",8.05,5,67
167,53,24,"2013-01-29","07:34:21","15:36:34",8.03,5,67
168,54,24,"2013-01-29","07:34:43","15:36:41",8.03,5,67
169,55,24,"2013-01-29","07:35:27","15:36:47",8.02,5,67
170,52,33,"2013-01-30","07:15:24","12:33:21",5.3,5,73
171,61,36,"2013-01-30","07:11:53","12:33:39",5.37,5,69
172,55,37,"2013-01-30","07:09:55","14:24:11",7.25,5,68
173,45,37,"2013-01-30","07:10:10","14:24:17",7.23,5,68
174,47,37,"2013-01-30","07:10:25","14:24:24",7.23,5,68
175,46,37,"2013-01-30","07:10:35","14:24:30",7.23,5,68
176,59,37,"2013-01-30","07:10:47","14:24:37",7.23,5,68
177,53,37,"2013-01-30","07:11:04","14:24:44",7.22,5,68
178,54,36,"2013-01-30","07:11:42","14:28:34",7.28,5,69
179,44,36,"2013-01-30","07:12:06","14:28:42",7.27,5,69
180,64,36,"2013-01-30","07:13:00","14:28:54",7.25,5,69
181,58,25,"2013-01-30","07:16:07","15:03:52",7.78,5,70
182,57,25,"2013-01-30","07:16:27","15:04:03",7.8,5,70
183,54,38,"2013-01-30","14:33:58","15:27:15",0.9,5,71
184,44,38,"2013-01-30","14:33:35","15:27:27",0.9,5,71
185,64,38,"2013-01-30","14:33:17","15:27:36",0.9,5,71
186,66,32,"2013-01-30","07:19:43","15:28:21",8.15,5,72
187,42,32,"2013-01-30","07:20:09","15:28:37",8.13,5,72
188,48,32,"2013-01-30","07:20:23","15:28:46",8.13,5,72
189,62,32,"2013-01-30","07:20:35","15:28:56",8.13,5,72
190,43,32,"2013-01-30","07:20:47","15:29:05",8.15,5,72
191,65,32,"2013-01-30","07:18:27","15:29:14",8.18,5,72
192,63,33,"2013-01-30","07:14:51","15:32:17",8.3,5,73
193,60,33,"2013-01-30","07:13:33","15:32:24",8.32,5,73
194,41,33,"2013-01-30","07:14:15","15:32:33",8.3,5,73
195,61,33,"2013-01-30","12:34:10","15:32:41",2.97,5,73
196,56,35,"2013-01-30","07:02:16","15:33:31",8.52,5,74
197,40,35,"2013-01-30","07:02:06","15:33:38",8.52,5,74
198,50,35,"2013-01-30","07:01:53","15:33:45",8.53,5,74
199,40,29,"2013-01-31","07:20:46","09:47:40",2.45,5,75
200,56,29,"2013-01-31","07:18:41","09:47:47",2.48,5,75
201,50,29,"2013-01-31","07:17:49","09:47:53",2.5,5,75
202,60,33,"2013-01-31","07:16:56","15:27:20",8.18,5,76
203,61,33,"2013-01-31","07:16:38","15:27:28",8.18,5,76
204,63,33,"2013-01-31","07:16:12","15:27:34",8.18,5,76
205,52,33,"2013-01-31","07:15:53","15:27:40",8.2,5,76
206,49,38,"2013-01-31","07:24:18","15:28:55",8.07,5,77
207,45,38,"2013-01-31","07:24:06","15:29:02",8.08,5,77
208,41,38,"2013-01-31","07:23:54","15:29:08",8.1,5,77
209,66,38,"2013-01-31","07:23:40","15:29:14",8.1,5,77
210,46,38,"2013-01-31","07:23:26","15:29:20",8.1,5,77
211,42,38,"2013-01-31","07:23:05","15:29:26",8.1,5,77
212,48,38,"2013-01-31","07:22:53","15:29:32",8.12,5,77
213,62,38,"2013-01-31","07:22:38","15:29:38",8.12,5,77
214,64,38,"2013-01-31","07:22:24","15:29:47",8.12,5,77
215,44,38,"2013-01-31","07:22:00","15:29:53",8.12,5,77
216,43,38,"2013-01-31","07:21:40","15:29:58",8.13,5,77
217,50,40,"2013-01-31","09:51:29","15:30:50",5.65,5,78
218,40,40,"2013-01-31","09:51:41","15:30:59",5.65,5,78
219,56,40,"2013-01-31","09:51:52","15:31:06",5.67,5,78
220,57,39,"2013-01-31","07:14:12","15:31:51",8.28,5,79
221,46,33,"2013-02-01","07:14:06","09:14:42",2,5,80
222,60,33,"2013-02-01","07:13:29","09:15:07",2.03,5,80
223,61,33,"2013-02-01","07:13:46","09:15:15",2.03,5,80
224,45,33,"2013-02-01","07:14:32","09:15:23",2.02,5,80
225,47,33,"2013-02-01","07:14:58","09:15:29",2.02,5,80
226,62,38,"2013-02-01","07:12:37","10:23:42",3.18,5,81
227,66,38,"2013-02-01","07:12:26","10:23:49",3.18,5,81
228,41,38,"2013-02-01","07:12:14","10:23:57",3.18,5,81
229,48,38,"2013-02-01","07:12:02","10:24:03",3.2,5,81
230,49,38,"2013-02-01","07:11:44","10:24:09",3.22,5,81
231,63,38,"2013-02-01","07:11:28","10:24:15",3.22,5,81
232,42,38,"2013-02-01","07:11:12","10:24:22",3.22,5,81
233,43,38,"2013-02-01","07:10:58","10:24:29",3.23,5,81
234,44,38,"2013-02-01","07:10:45","10:24:35",3.23,5,81
235,64,38,"2013-02-01","07:10:28","10:24:43",3.23,5,81
236,60,38,"2013-02-01","09:17:45","10:24:49",1.12,5,81
237,57,39,"2013-02-01","07:07:46","10:28:16",3.35,5,89
238,40,40,"2013-02-01","07:10:11","13:50:26",6.67,5,87
239,56,40,"2013-02-01","07:09:29","13:50:37",6.68,5,87
240,50,40,"2013-02-01","07:09:58","13:50:44",6.68,5,87
241,40,30,"2013-02-01","13:58:30","13:58:36",0.01,5,85
242,47,41,"2013-02-01","09:22:22","15:28:35",6.1,5,82
243,61,41,"2013-02-01","09:22:48","15:28:43",6.1,5,82
244,45,41,"2013-02-01","09:22:34","15:28:50",6.1,5,82
245,46,41,"2013-02-01","09:22:59","15:28:57",6.1,5,82
246,49,43,"2013-02-01","10:33:21","15:29:22",4.93,5,83
247,60,43,"2013-02-01","10:33:33","15:29:29",4.93,5,83
248,62,43,"2013-02-01","10:33:44","15:29:35",4.93,5,83
249,41,43,"2013-02-01","10:33:57","15:29:41",4.93,5,83
250,63,43,"2013-02-01","10:34:11","15:29:47",4.92,5,83
251,64,43,"2013-02-01","10:34:22","15:29:54",4.92,5,83
252,66,42,"2013-02-01","10:36:26","15:30:33",4.9,5,84
253,44,42,"2013-02-01","10:36:12","15:30:39",4.9,5,84
254,43,42,"2013-02-01","10:35:51","15:30:45",4.92,5,84
255,42,42,"2013-02-01","10:35:39","15:30:51",4.92,5,84
256,48,42,"2013-02-01","10:35:27","15:30:58",4.92,5,84
257,58,39,"2013-02-01","07:13:04","15:31:44",8.3,5,89
258,40,30,"2013-02-01","13:59:08","15:32:48",1.55,5,85
259,56,45,"2013-02-01","14:01:08","15:33:36",1.53,5,86
260,57,44,"2013-02-01","10:42:26","15:33:42",4.85,5,88
261,47,46,"2013-02-04","07:13:04","11:09:19",3.93,6,90
262,46,46,"2013-02-04","07:13:17","11:09:25",3.93,6,90
263,49,46,"2013-02-04","07:13:44","11:09:32",3.93,6,90
264,45,46,"2013-02-04","07:13:57","11:09:39",3.93,6,90
265,61,46,"2013-02-04","07:18:38","11:09:46",3.85,6,90
266,60,46,"2013-02-04","07:18:27","11:09:52",3.85,6,90
267,47,47,"2013-02-04","11:13:08","13:49:27",2.6,6,91
268,46,47,"2013-02-04","11:12:57","13:49:35",2.62,6,91
269,49,47,"2013-02-04","11:12:43","13:49:43",2.62,6,91
270,45,47,"2013-02-04","11:12:30","13:49:51",2.62,6,91
271,61,47,"2013-02-04","11:12:18","13:49:58",2.62,6,91
272,60,47,"2013-02-04","11:12:06","13:50:05",2.63,6,91
273,60,48,"2013-02-04","13:55:17","15:25:47",1.5,6,92
274,61,48,"2013-02-04","13:55:28","15:26:03",1.52,6,92
275,45,48,"2013-02-04","13:55:39","15:26:12",1.52,6,92
276,49,48,"2013-02-04","13:55:49","15:26:22",1.52,6,92
277,46,48,"2013-02-04","13:56:00","15:26:28",1.5,6,92
278,47,48,"2013-02-04","13:56:11","15:26:35",1.5,6,92
279,66,43,"2013-02-04","07:19:21","15:29:33",8.17,6,93
280,48,43,"2013-02-04","07:19:39","15:29:42",8.17,6,93
281,62,43,"2013-02-04","07:19:57","15:29:49",8.17,6,93
282,43,43,"2013-02-04","07:20:20","15:29:57",8.15,6,93
283,42,43,"2013-02-04","07:20:36","15:30:03",8.17,6,93
284,56,45,"2013-02-04","07:17:07","15:40:43",8.38,6,94
285,57,45,"2013-02-04","07:17:53","15:40:51",8.38,6,94
286,40,45,"2013-02-04","07:17:26","15:40:58",8.38,6,94
287,50,41,"2013-02-04","07:09:42","15:42:22",8.55,6,95
288,64,41,"2013-02-04","07:44:07","15:42:29",7.97,6,95
289,63,41,"2013-02-04","07:09:23","15:42:36",8.55,6,95
290,44,41,"2013-02-04","07:08:44","15:42:44",8.57,6,95
291,54,24,"2013-02-04","08:00:45","15:44:33",7.73,6,96
292,53,24,"2013-02-04","08:00:30","15:44:38",7.73,6,96
293,55,24,"2013-02-04","08:00:04","15:44:45",7.73,6,96
294,52,24,"2013-02-04","07:59:44","15:44:52",7.75,6,96
295,32,30,"2013-02-04","15:51:15","15:51:32",0.01,6,97
300,48,43,"2013-02-05","07:05:00","08:22:59",1.28,6,98
297,56,32,"2013-02-04","16:14:39","16:19:41",0.08,6,104
299,62,43,"2013-02-05","07:06:13","08:22:23",1.27,6,98
307,63,49,"2013-02-05","08:27:27","10:42:44",2.25,6,99
308,50,49,"2013-02-05","08:27:52","10:42:51",2.25,6,99
309,42,49,"2013-02-05","08:28:11","10:42:58",2.23,6,99
310,43,49,"2013-02-05","08:28:33","10:43:05",2.25,6,99
311,63,50,"2013-02-05","10:46:58","12:04:34",1.3,6,103
312,49,48,"2013-02-05","07:07:17","12:05:54",4.97,6,101
313,42,51,"2013-02-05","10:49:35","15:31:51",4.7,6,100
314,43,51,"2013-02-05","10:49:46","15:32:19",4.72,6,100
315,48,51,"2013-02-05","10:49:59","15:32:34",4.72,6,100
316,62,51,"2013-02-05","10:50:21","15:32:45",4.7,6,100
317,46,48,"2013-02-05","07:07:29","15:33:42",8.43,6,101
318,47,48,"2013-02-05","07:07:39","15:33:49",8.43,6,101
319,45,48,"2013-02-05","07:07:07","15:33:56",8.43,6,101
320,44,48,"2013-02-05","07:06:55","15:34:03",8.47,6,101
321,40,48,"2013-02-05","07:06:41","15:34:10",8.47,6,101
322,49,52,"2013-02-05","12:06:24","15:34:52",3.47,6,102
323,63,52,"2013-02-05","12:06:08","15:35:00",3.48,6,102
324,50,50,"2013-02-05","10:47:10","15:35:41",4.8,6,103
325,49,52,"2013-02-06","07:17:08","08:01:34",0.73,6,116
326,66,52,"2013-02-06","07:16:48","08:01:41",0.75,6,116
327,42,52,"2013-02-06","07:16:34","08:01:47",0.75,6,116
328,63,52,"2013-02-06","07:16:19","08:01:53",0.75,6,116
329,61,52,"2013-02-06","07:16:02","08:02:00",0.77,6,116
330,62,51,"2013-02-06","07:07:48","08:44:47",1.62,6,105
331,65,51,"2013-02-06","07:07:34","08:44:54",1.62,6,105
332,43,51,"2013-02-06","07:07:20","08:45:00",1.63,6,105
333,50,51,"2013-02-06","07:07:07","08:45:06",1.63,6,105
334,48,51,"2013-02-06","07:06:52","08:45:11",1.65,6,105
336,57,54,"2013-02-06","07:39:58","11:54:04",4.25,6,106
337,59,53,"2013-02-06","07:13:24","13:14:47",6.02,6,107
338,44,53,"2013-02-06","07:13:01","13:14:55",6.02,6,107
339,56,53,"2013-02-06","07:13:13","13:15:02",6.03,6,107
340,57,53,"2013-02-06","12:18:06","13:15:40",0.95,6,107
341,43,43,"2013-02-06","08:49:04","13:25:59",4.6,6,108
342,62,43,"2013-02-06","08:48:31","13:26:06",4.63,6,108
343,48,43,"2013-02-06","08:48:45","13:26:12",4.63,6,108
344,60,48,"2013-02-06","07:14:13","14:57:35",7.72,6,109
345,47,48,"2013-02-06","07:14:51","14:57:45",7.72,6,109
346,40,48,"2013-02-06","07:15:04","14:57:53",7.7,6,109
347,46,48,"2013-02-06","07:15:19","14:57:59",7.7,6,109
348,45,48,"2013-02-06","07:14:31","14:58:05",7.73,6,109
349,62,58,"2013-02-06","13:29:24","15:29:44",2,6,110
350,43,58,"2013-02-06","13:29:10","15:29:51",2,6,110
351,48,58,"2013-02-06","13:29:36","15:29:57",2,6,110
352,49,55,"2013-02-06","08:17:05","15:30:45",7.22,6,111
353,66,55,"2013-02-06","08:16:53","15:30:54",7.23,6,111
354,42,55,"2013-02-06","08:16:40","15:31:00",7.25,6,111
355,63,55,"2013-02-06","08:16:28","15:31:09",7.25,6,111
356,61,55,"2013-02-06","08:16:17","15:33:33",7.28,6,111
357,40,30,"2013-02-06","14:59:49","15:34:51",0.58,6,114
358,46,30,"2013-02-06","15:00:38","15:34:58",0.57,6,114
359,53,24,"2013-02-06","07:31:51","15:35:25",8.07,6,115
360,52,24,"2013-02-06","07:31:39","15:35:32",8.07,6,115
361,55,24,"2013-02-06","07:31:27","15:35:38",8.07,6,115
362,54,24,"2013-02-06","07:31:15","15:35:45",8.07,6,115
363,44,57,"2013-02-06","13:18:25","15:35:58",2.28,6,112
364,57,57,"2013-02-06","13:17:58","15:36:04",2.32,6,112
365,56,57,"2013-02-06","13:18:12","15:36:11",2.3,6,112
366,65,56,"2013-02-06","08:47:51","15:48:36",7.02,6,113
367,50,56,"2013-02-06","08:47:38","15:48:42",7.02,6,113
368,49,55,"2013-02-07","07:14:41","08:35:45",1.35,6,117
369,61,55,"2013-02-07","07:14:20","08:35:52",1.35,6,117
370,41,55,"2013-02-07","07:13:59","08:35:57",1.37,6,117
371,63,55,"2013-02-07","07:13:36","08:36:03",1.38,6,117
372,64,55,"2013-02-07","07:13:01","08:36:11",1.38,6,117
373,66,55,"2013-02-07","07:13:14","08:39:48",1.43,6,117
374,50,59,"2013-02-07","07:10:46","12:03:12",4.88,6,118
375,60,59,"2013-02-07","07:10:34","12:03:24",4.88,6,118
376,46,59,"2013-02-07","07:10:11","12:03:29",4.88,6,118
377,40,59,"2013-02-07","07:09:59","12:03:35",4.9,6,118
378,47,59,"2013-02-07","07:09:29","12:03:42",4.9,6,118
379,45,59,"2013-02-07","07:09:48","12:03:48",4.9,6,118
380,64,60,"2013-02-07","08:42:45","13:00:00",4.28,6,123
381,66,60,"2013-02-07","08:42:57","13:00:00",4.28,6,123
382,49,60,"2013-02-07","08:43:18","13:00:00",4.28,6,123
383,61,60,"2013-02-07","08:43:31","13:00:00",4.28,6,123
384,41,60,"2013-02-07","08:43:42","13:00:00",4.28,6,123
385,63,60,"2013-02-07","08:43:53","13:00:00",4.28,6,123
386,47,61,"2013-02-07","12:10:35","15:31:31",3.35,6,122
387,46,61,"2013-02-07","12:10:57","15:31:37",3.35,6,122
388,50,61,"2013-02-07","12:10:22","15:31:42",3.35,6,122
389,45,61,"2013-02-07","12:10:08","15:31:48",3.35,6,122
390,44,57,"2013-02-07","07:07:35","15:33:04",8.43,6,119
391,59,57,"2013-02-07","07:07:10","15:33:11",8.43,6,119
392,42,57,"2013-02-07","07:07:24","15:33:18",8.43,6,119
393,62,58,"2013-02-07","07:11:47","15:34:12",8.38,6,120
394,48,58,"2013-02-07","07:12:09","15:34:18",8.37,6,120
395,43,58,"2013-02-07","07:12:26","15:34:25",8.37,6,120
396,53,24,"2013-02-07","07:38:18","11:30:00",3.86,6,121
397,52,24,"2013-02-07","07:38:36","11:30:00",3.86,6,121
398,55,24,"2013-02-07","07:38:50","11:30:00",3.86,6,121
399,54,24,"2013-02-07","07:39:11","11:30:00",3.86,6,121
400,40,61,"2013-02-07","12:10:45","12:32:01",0.36,6,122
401,60,61,"2013-02-07","12:11:08","12:32:09",0.36,6,122
402,48,63,"2013-02-08","07:12:46","10:12:26",3,6,124
403,50,63,"2013-02-08","07:12:05","10:12:40",3,6,124
404,43,63,"2013-02-08","07:13:07","10:12:50",2.98,6,124
405,62,63,"2013-02-08","07:13:23","10:13:00",3,6,124
406,60,63,"2013-02-08","07:13:39","10:13:12",3,6,124
407,40,63,"2013-02-08","07:14:03","10:13:21",2.98,6,124
408,47,63,"2013-02-08","07:14:23","10:13:33",2.98,6,124
409,46,63,"2013-02-08","07:14:49","10:13:40",2.98,6,124
410,45,63,"2013-02-08","07:15:07","10:13:46",2.97,6,124
411,44,57,"2013-02-08","07:07:00","10:18:17",3.18,6,125
412,59,57,"2013-02-08","07:07:12","10:18:26",3.18,6,125
413,42,57,"2013-02-08","07:07:25","10:18:32",3.18,6,125
414,59,65,"2013-02-08","10:20:51","12:28:28",2.13,6,126
415,42,65,"2013-02-08","10:21:22","12:28:43",2.12,6,126
416,44,65,"2013-02-08","10:20:37","12:28:49",2.13,6,126
417,46,64,"2013-02-08","10:17:12","14:06:49",3.82,6,127
418,50,64,"2013-02-08","10:16:00","15:10:07",4.9,6,127
419,45,64,"2013-02-08","10:16:18","15:27:55",5.18,6,127
420,47,67,"2013-02-08","13:26:30","15:28:03",2.03,6,129
421,40,64,"2013-02-08","10:17:27","15:28:17",5.18,6,127
422,60,64,"2013-02-08","10:17:39","15:28:23",5.18,6,127
423,62,66,"2013-02-08","10:22:59","15:30:07",5.13,6,128
424,48,66,"2013-02-08","10:24:10","15:30:14",5.1,6,128
425,43,66,"2013-02-08","10:24:33","15:30:22",5.1,6,128
426,44,67,"2013-02-08","12:36:18","15:31:01",2.92,6,129
427,42,67,"2013-02-08","12:36:52","15:31:17",2.92,6,129
428,59,67,"2013-02-08","12:39:15","15:31:25",2.87,6,129
429,66,62,"2013-02-08","07:05:40","15:31:58",8.43,6,130
430,64,62,"2013-02-08","07:05:21","15:32:05",8.45,6,130
431,49,62,"2013-02-08","07:05:51","15:32:11",8.45,6,130
432,61,62,"2013-02-08","07:06:03","15:32:20",8.43,6,130
433,41,62,"2013-02-08","07:06:19","15:32:29",8.43,6,130
434,63,62,"2013-02-08","07:06:29","15:32:36",8.43,6,130
435,47,64,"2013-02-11","07:10:03","09:20:44",2.17,7,132
436,56,44,"2013-02-11","07:38:17","11:14:05",3.6,7,131
437,57,44,"2013-02-11","07:37:57","11:14:16",3.62,7,131
438,50,64,"2013-02-11","07:08:16","12:20:05",5.2,7,132
439,49,64,"2013-02-11","07:08:03","12:20:24",5.2,7,132
440,61,64,"2013-02-11","07:07:47","12:20:31",5.22,7,132
441,62,64,"2013-02-11","07:07:32","12:20:39",5.22,7,132
442,43,64,"2013-02-11","07:07:18","12:20:47",5.22,7,132
443,40,64,"2013-02-11","07:07:07","12:21:06",5.23,7,132
444,56,30,"2013-02-11","12:13:28","13:54:22",1.68,7,136
445,57,30,"2013-02-11","12:13:15","13:54:30",1.68,7,136
446,50,61,"2013-02-11","12:21:53","15:31:17",3.17,7,133
447,49,61,"2013-02-11","12:22:17","15:31:29",3.15,7,133
448,61,61,"2013-02-11","12:22:29","15:31:35",3.15,7,133
449,62,61,"2013-02-11","12:22:40","15:31:42",3.15,7,133
450,43,61,"2013-02-11","12:22:49","15:31:49",3.15,7,133
451,40,61,"2013-02-11","12:23:00","15:31:55",3.13,7,133
452,47,69,"2013-02-11","09:22:50","15:32:25",6.17,7,134
453,42,67,"2013-02-11","07:05:28","15:32:56",8.45,7,135
454,63,67,"2013-02-11","07:05:58","15:33:02",8.47,7,135
